"""LOCATION";"""INDICATOR""";"""SUBJECT""";"""MEASURE""";"""FREQUENCY""";"""TIME""";"""Value""";"""Flag Codes"""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-12""";1.005.723;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-01""";1.011.134;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-02""";1.014.637;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-03""";101.491;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-04""";101.268;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-05""";1.010.448;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-06""";1.008.365;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-07""";1.006.457;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-08""";1.005.122;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-09""";1.003.858;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-10""";1.002.596;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-11""";1.002.966;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-12""";100.638;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-01""";1.012.069;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-02""";101.526;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-03""";1.014.208;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-04""";1.010.185;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-05""";100.694;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-06""";1.005.182;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-07""";1.004.239;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-08""";1.003.811;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-09""";1.003.328;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-10""";1.002.373;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-11""";1.001.169;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-12""";9.999.419;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-01""";9.985.371;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-02""";9.976.424;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-03""";9.970.158;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-04""";9.963.795;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-05""";9.960.459;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-06""";9.959.647;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-07""";9.960.558;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-08""";9.962.912;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-09""";9.966.032;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-10""";9.966.492;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-11""";9.955.004;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-12""";9.915.947;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-01""";9.854.762;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-02""";9.805.206;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-03""";9.763.344;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-04""";9.721.204;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-05""";9.692.738;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-06""";9.676.466;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-07""";9.668.037;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-08""";9.660.612;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-09""";9.653.281;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-10""";9.642.598;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-11""";9.629.903;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-12""";9.616.114;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-01""";9.598.514;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-02""";9.584.547;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-03""";9.577.615;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-04""";9.575.151;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-05""";9.575.542;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-06""";9.580.599;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-07""";9.595.167;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-08""";9.606.163;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-09""";9.615.712;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-10""";9.630.148;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-11""";9.634.569;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-12""";9.626.093;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-01""";9.609.444;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-02""";9.605.424;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-03""";9.619.862;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-04""";9.647.638;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-05""";9.658.243;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-06""";9.647.501;""""
