"""LOCATION";"""INDICATOR""";"""SUBJECT""";"""MEASURE""";"""FREQUENCY""";"""TIME""";"""Value""";"""Flag Codes"""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-05""";9.780.495;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-06""";9.808.071;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-07""";9.838.882;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-08""";9.852.774;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-09""";9.849.845;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-10""";9.830.522;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-11""";9.817.262;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2020-12""";983.327;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-01""";9.856.886;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-02""";9.901.256;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-03""";9.965.545;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-04""";1.002.713;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-05""";1.007.962;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-06""";1.011.101;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-07""";1.011.514;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-08""";101.054;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-09""";1.008.765;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-10""";1.005.521;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-11""";1.001.252;""""
"""OECDE";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""2021-12""";9.968.063;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-09""";9.874.031;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-10""";9.879.823;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-11""";9.893.783;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1974-12""";992.646;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-01""";9.988.015;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-02""";1.005.555;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-03""";1.010.111;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-04""";1.010.255;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-05""";1.007.633;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-06""";1.004.249;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-07""";1.001.728;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-08""";1.000.219;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-09""";9.998.012;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-10""";1.000.872;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-11""";1.003.444;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1975-12""";1.007.191;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-01""";1.010.003;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-02""";1.009.829;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-03""";1.008.591;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-04""";1.007.871;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-05""";1.006.797;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-06""";100.612;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-07""";1.005.927;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-08""";100.632;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-09""";1.006.487;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-10""";1.005.433;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-11""";1.002.928;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1976-12""";1.001.683;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-01""";1.000.896;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-02""";9.997.399;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-03""";9.992.673;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-04""";1.000.207;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-05""";1.001.197;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-06""";1.001.206;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-07""";100.078;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-08""";1.002.033;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-09""";1.003.479;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-10""";1.005.492;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-11""";1.008.862;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1977-12""";1.012.784;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-01""";1.015.965;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-02""";1.017.177;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-03""";1.015.443;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-04""";1.012.176;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-05""";1.008.437;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-06""";1.003.725;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-07""";9.985.956;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-08""";9.948.955;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-09""";9.964.107;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-10""";1.000.252;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-11""";1.003.178;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1978-12""";1.005.589;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-01""";1.007.483;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-02""";1.008.286;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-03""";1.007.192;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-04""";1.004.607;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-05""";9.987.563;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-06""";9.927.521;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-07""";9.903.668;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-08""";9.919.608;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-09""";9.946.275;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-10""";9.961.988;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-11""";997.056;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1979-12""";997.439;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-01""";9.977.094;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-02""";9.979.667;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-03""";9.977.782;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-04""";9.970.416;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-05""";9.972.926;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-06""";9.979.633;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-07""";9.983.705;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-08""";1.000.404;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-09""";1.003.639;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-10""";1.006.667;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-11""";1.008.332;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1980-12""";1.010.305;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-01""";1.012.063;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-02""";1.012.268;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-03""";1.010.371;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-04""";1.006.409;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-05""";100.178;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-06""";9.976.055;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-07""";9.937.656;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-08""";9.919.501;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-09""";9.927.823;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-10""";9.942.745;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-11""";9.943.559;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1981-12""";9.927.383;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-01""";9.908.359;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-02""";9.900.224;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-03""";9.901.759;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-04""";9.904.915;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-05""";9.893.285;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-06""";9.861.333;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-07""";9.814.835;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-08""";9.791.629;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-09""";9.773.756;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-10""";9.755.451;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-11""";9.749.828;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1982-12""";9.784.779;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-01""";9.841.429;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-02""";9.897.556;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-03""";9.938.115;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-04""";9.955.106;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-05""";9.951.788;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-06""";9.948.089;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-07""";9.961.527;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-08""";9.988.521;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-09""";1.002.453;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-10""";1.007.068;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-11""";1.013.128;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1983-12""";1.019.015;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-01""";1.022.832;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-02""";102.324;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-03""";1.022.354;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-04""";1.020.859;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-05""";1.018.895;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-06""";1.017.551;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-07""";1.017.474;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-08""";101.797;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-09""";1.018.201;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-10""";101.781;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-11""";101.669;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1984-12""";1.015.373;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-01""";1.013.911;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-02""";1.010.959;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-03""";1.006.349;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-04""";1.000.687;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-05""";997.726;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-06""";9.977.064;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-07""";1.000.321;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-08""";1.003.614;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-09""";1.004.723;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-10""";1.003.311;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-11""";1.000.447;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1985-12""";1.001.147;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-01""";1.002.677;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-02""";1.002.811;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-03""";1.000.542;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-04""";9.959.467;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-05""";991.337;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-06""";9.857.755;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-07""";9.796.871;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-08""";9.770.606;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-09""";9.781.018;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-10""";9.818.597;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-11""";9.840.656;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1986-12""";9.856.918;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-01""";9.862.668;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-02""";9.856.078;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-03""";9.854.856;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-04""";9.869.241;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-05""";9.892.033;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-06""";991.779;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-07""";9.942.442;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-08""";9.948.713;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-09""";9.948.666;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-10""";9.943.828;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-11""";991.405;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1987-12""";9.923.108;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-01""";9.958.142;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-02""";9.987.778;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-03""";1.001.667;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-04""";1.003.345;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-05""";1.003.786;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-06""";1.004.633;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-07""";1.006.517;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-08""";1.008.215;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-09""";1.009.238;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-10""";1.008.136;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-11""";1.005.955;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1988-12""";1.003.979;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-01""";1.000.309;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-02""";9.940.858;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-03""";9.880.336;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-04""";9.834.905;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-05""";9.786.217;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-06""";9.729.632;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-07""";9.711.706;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-08""";9.730.029;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-09""";9.751.146;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-10""";9.759.421;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-11""";9.769.499;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1989-12""";9.784.451;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-01""";9.808.083;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-02""";981.879;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-03""";9.790.708;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-04""";9.727.793;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-05""";9.680.708;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-06""";9.664.185;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-07""";9.659.317;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-08""";9.641.289;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-09""";9.617.826;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-10""";9.602.441;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-11""";9.604.306;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1990-12""";9.632.439;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-01""";9.671.449;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-02""";9.698.183;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-03""";9.732.299;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-04""";9.753.535;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-05""";9.768.374;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-06""";9.788.802;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-07""";9.806.274;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-08""";981.607;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-09""";982.222;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-10""";9.816.509;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-11""";9.794.721;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-12""";9.784.742;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-01""";9.801.166;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-02""";9.844.083;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-03""";9.882.653;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-04""";9.890.561;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-05""";9.863.436;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-06""";9.822.134;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-07""";9.806.274;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-08""";9.825.974;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-09""";9.844.114;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-10""";985.741;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-11""";9.844.679;""""
"""AUS";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-12""";9.854.317;""""
