"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5493930520737","","","","","","","","","","23.7312219688379","23.3218985110583","24.6989590341333","23.3763723616541","25.3601100251021","24.9358937219545","23.6622743191107","22.7074661585453","24.3906736311218","24.4853639531299","24.8040022382724","",
"Afghanistan","AFG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5781737687622","24.2432588226125","50.7192978736512","44.3178392396772","50.8630045999057","59.4847758807514","42.3292514484608","42.0936844468805","44.5892994893339","37.0225695736427","43.9227656125389","39.2201099807684","","","",
"Africa Western and Central","AFW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6524460019801","21.8300194095745","29.0157756429379","21.1229588884631","25.9032756131845","16.145436704097","20.8255646807053","19.0326436506387","20.8230172371605","22.3855332282409","25.5005040191697","25.6491744238504","26.6713218932877","23.4498303836786","28.2092383291269","27.967359355335","20.8188318427411","17.5116635351029","16.6711371453949","15.6076580242073","15.5130416108379","",
"Albania","ALB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8909560055278","21.0782030691562","25.5827202375922","30.0333024986488","","","","24.8318781136964","22.9013763430706","22.7939219866713","","","","","","","23.0111069763437","23.007590723666","24.1607729474324","24.3826654387392","24.4461757489854","23.9567294338323","23.8675950975239","23.2667946046113","23.1530416514702","",
"Andorra","AND","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3163241573818","24.1336936570477","","","","","",
"United Arab Emirates","ARE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05387363605581","6.54878847413229","6.20006062052198","","","","","","","","","","","","4.12550016580332","4.24840745549923","4.01105941620261","3.8952818504979","4.28850810607108","4.4659581193146","4.06642838718575","3.9631141190009","4.26722708833685","",
"Argentina","ARG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3254404487432","11.2055409345172","11.8011099217048","14.2818561185834","14.9007924176507","15.5112306915719","15.1655476442657","15.0142218610321","15.0988005449104","16.7436856974566","16.8328883767368","16.9923529034125","19.6771706443151","19.8373029880995","16.8763416365527","","","","","","","","","","24.5697808575806","25.0083932347048","26.1799164832469","24.2825320419979","22.6877806247463","21.7900494664787","",
"Armenia","ARM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9559988456693","18.1464405215631","17.1482192993136","17.0424253804612","21.1396851697465","23.8619179943921","22.9973623470093","22.5680163171222","21.3736421560682","22.6371817977093","23.9875580530759","25.0779813488419","25.7115181584805","22.6297249923647","22.0768137564949","21.7584805720085","",
"American Samoa","ASM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","18.0559296166622","18.4583893560234","18.1402590519098","21.2677301233217","23.6396128428703","23.6127852362941","24.4933107503759","23.6941130912795","23.3576425505369","23.5529164752969","23.2854130072705","25.5656239939625","26.4625805787637","26.4334321663113","26.142439608153","25.7055711999776","24.2065779213374","22.1920710589577","21.8229770447068","23.1710870764125","24.4398920661024","24.9694969587005","25.092045313297","25.4031712844772","24.5787271392792","23.822981104058","21.3415483270555","24.5368193208831","24.0634284488048","26.2158737798792","26.387313570123","25.7237916038429","25.6262776597038","25.5780676603334","24.9277870589602","24.4771684397016","24.344272796771","26.4870667085559","26.7349933761009","26.008711487004","26.1352816768058","25.8938438768749","26.2704458344515","26.7800101897047","26.9868568367613","26.6087236275048","26.2155266622028","26.1900455650623","",
